Uniprot.accession,Gene.symbol,Description,tissue,Variable,Value,transporter,mito,meta,edge,rhea,reactome,TCDB,edge_type,Outlier
Q8R0P4,AAMDC,Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1,liver,Hypotaurine,0.045,no,no,no,AAMDC_Hypotaurine,NA,NA,NA,newfound,Normal
Q9WTN3,SREBF1,Sterol regulatory element-binding protein 1 OS=Mus musculus OX=10090 GN=Srebf1 PE=1 SV=4,liver,Hypotaurine,0.0353,no,no,no,SREBF1_Hypotaurine,NA,NA,NA,newfound,Normal
P42230,STAT5A,Signal transducer and activator of transcription 5A OS=Mus musculus OX=10090 GN=Stat5a PE=1 SV=1,liver,Hypotaurine,0.0301,no,no,no,STAT5A_Hypotaurine,NA,NA,NA,newfound,Normal
Q9JKX6,NUDT5,ADP-sugar pyrophosphatase OS=Mus musculus OX=10090 GN=Nudt5 PE=1 SV=1,liver,Hypotaurine,0.012,no,yes,yes,NUDT5_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BH69,SEPHS1,"Selenide, water dikinase 1 OS=Mus musculus OX=10090 GN=Sephs1 PE=1 SV=1",liver,Hypotaurine,0.00218,no,no,yes,SEPHS1_Hypotaurine,NA,NA,NA,newfound,Normal
Q9DBL9,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Mus musculus OX=10090 GN=Abhd5 PE=1 SV=1,liver,Hypotaurine,-0.0117,no,no,yes,ABHD5_Hypotaurine,NA,NA,NA,newfound,Normal
P27786,CYP17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Mus musculus OX=10090 GN=Cyp17a1 PE=1 SV=1",liver,Hypotaurine,-0.0262,no,no,yes,CYP17A1_Hypotaurine,NA,NA,NA,newfound,Normal
Q99M07,COA5,Cytochrome c oxidase assembly factor 5 OS=Mus musculus OX=10090 GN=Coa5 PE=1 SV=1,liver,Hypotaurine,-0.0908,no,yes,no,COA5_Hypotaurine,NA,NA,NA,newfound,Normal
Q8C3X2,CCDC90B,"Coiled-coil domain-containing protein 90B, mitochondrial OS=Mus musculus OX=10090 GN=Ccdc90b PE=1 SV=1",liver,Hypotaurine,-0.0945,no,yes,no,CCDC90B_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BVZ1,PLIN5,Perilipin-5 OS=Mus musculus OX=10090 GN=Plin5 PE=1 SV=1,liver,Hypotaurine,-0.151418674,no,no,no,PLIN5_Hypotaurine,NA,NA,NA,newfound,Normal
Q8VHG0,FMO4,Dimethylaniline monooxygenase [N-oxide-forming] 4 OS=Mus musculus OX=10090 GN=Fmo4 PE=1 SV=3,liver,Hypotaurine,-0.268404653,no,no,no,FMO4_Hypotaurine,NA,NA,NA,newfound,Normal
Q91YX5,LPGAT1,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 OS=Mus musculus OX=10090 GN=Lpgat1 PE=1 SV=1,liver,Hypotaurine,-0.318440271,no,no,no,LPGAT1_Hypotaurine,NA,NA,NA,newfound,Normal
P50285,FMO1,Dimethylaniline monooxygenase [N-oxide-forming] 1 OS=Mus musculus OX=10090 GN=Fmo1 PE=1 SV=1,liver,Hypotaurine,-0.703646502,no,no,no,FMO1_Hypotaurine,RHEA:69819;RHEA:74111,R-MMU-1614558;R-HSA-1614558,NA,established,Extreme Outlier
Q6NZJ6-2,EIF4G1,Isoform 2 of Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus OX=10090 GN=Eif4g1,liver,Inosine 5'-monophosphate,-0.0735,no,no,no,EIF4G1_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
O54784,DAPK3,Death-associated protein kinase 3 OS=Mus musculus OX=10090 GN=Dapk3 PE=1 SV=1,liver,Inosine 5'-monophosphate,-0.0817,no,no,no,DAPK3_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
Q8BX17,GEMIN5,Gem-associated protein 5 OS=Mus musculus OX=10090 GN=Gemin5 PE=1 SV=2,liver,Inosine 5'-monophosphate,-0.0729,no,no,no,GEMIN5_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
F6RND9,MPRIP,Myosin phosphatase Rho-interacting protein (Fragment) OS=Mus musculus OX=10090 GN=Mprip PE=1 SV=1,liver,Inosine 5'-monophosphate,-0.148289809,no,no,no,MPRIP_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
O08529,CAPN2,Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4,liver,Inosine 5'-monophosphate,-0.113103646,no,no,no,CAPN2_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
Q3UV55,NR1D1,Nuclear receptor subfamily 1 group D member 1 OS=Mus musculus OX=10090 GN=Nr1d1 PE=1 SV=1,liver,Inosine 5'-monophosphate,0.140704426,no,no,no,NR1D1_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
P08122,COL4A2,Collagen alpha-2(IV) chain OS=Mus musculus OX=10090 GN=Col4a2 PE=1 SV=4,liver,Inosine 5'-monophosphate,-0.0252,no,no,no,COL4A2_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
P47877,IGFBP2,Insulin-like growth factor-binding protein 2 OS=Mus musculus OX=10090 GN=Igfbp2 PE=2 SV=2,liver,Inosine 5'-monophosphate,0.0188,no,no,no,IGFBP2_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
Q6WKZ8,UBR2,E3 ubiquitin-protein ligase UBR2 OS=Mus musculus OX=10090 GN=Ubr2 PE=1 SV=2,liver,Inosine 5'-monophosphate,-0.0525,no,no,no,UBR2_Inosine 5'-monophosphate,NA,NA,NA,newfound,Normal
Q01237,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Mus musculus OX=10090 GN=Hmgcr PE=1 SV=3,liver,D-Mannosamine hydrochloride,-0.00573,yes,no,yes,HMGCR_D-Mannosamine hydrochloride,NA,NA,NA,newfound,Normal
Q3UUQ7,PGAP1,GPI inositol-deacylase OS=Mus musculus OX=10090 GN=Pgap1 PE=1 SV=3,liver,D-Mannosamine hydrochloride,0.0242,no,no,no,PGAP1_D-Mannosamine hydrochloride,NA,NA,NA,newfound,Normal
Q9D3U0,PUS10,tRNA pseudouridine synthase Pus10 OS=Mus musculus OX=10090 GN=Pus10 PE=1 SV=1,liver,D-Mannosamine hydrochloride,-0.00191,no,no,yes,PUS10_D-Mannosamine hydrochloride,NA,NA,NA,newfound,Normal
Q64311,NTAN1,Protein N-terminal asparagine amidohydrolase OS=Mus musculus OX=10090 GN=Ntan1 PE=1 SV=3,liver,D-Mannosamine hydrochloride,-0.0572,no,no,no,NTAN1_D-Mannosamine hydrochloride,NA,NA,NA,newfound,Normal
O35490,BHMT,Betaine--homocysteine S-methyltransferase 1 OS=Mus musculus OX=10090 GN=Bhmt PE=1 SV=1,liver,D-Mannosamine hydrochloride,-0.237733698,no,no,yes,BHMT_D-Mannosamine hydrochloride,NA,NA,NA,newfound,Normal
Q8JZK9,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Mus musculus OX=10090 GN=Hmgcs1 PE=1 SV=1",liver,D-Mannosamine hydrochloride,-0.0385,no,no,yes,HMGCS1_D-Mannosamine hydrochloride,NA,NA,NA,newfound,Normal
Q63836,SELENBP2,Selenium-binding protein 2 OS=Mus musculus OX=10090 GN=Selenbp2 PE=1 SV=2,liver,D-Mannosamine hydrochloride,0.0258,no,no,no,SELENBP2_D-Mannosamine hydrochloride,NA,NA,NA,newfound,Normal
Q64FW2,RETSAT,"All-trans-retinol 13,14-reductase OS=Mus musculus OX=10090 GN=Retsat PE=1 SV=3",liver,N-Acetyl-DL-methionine,-0.0756,no,no,no,RETSAT_N-Acetyl-DL-methionine,NA,NA,NA,newfound,Normal
P97429,ANXA4,Annexin A4 OS=Mus musculus OX=10090 GN=Anxa4 PE=1 SV=4,liver,N-Acetyl-DL-methionine,0.159268692,no,no,no,ANXA4_N-Acetyl-DL-methionine,NA,NA,NA,newfound,Normal
Q9DC69,NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Mus musculus OX=10090 GN=Ndufa9 PE=1 SV=2",liver,N-Acetyl-DL-methionine,-0.0505,no,yes,yes,NDUFA9_N-Acetyl-DL-methionine,NA,NA,NA,newfound,Normal
Q3ULW8,PARP3,Protein mono-ADP-ribosyltransferase PARP3 OS=Mus musculus OX=10090 GN=Parp3 PE=2 SV=1,liver,N-Acetyl-DL-methionine,-0.163136996,no,no,no,PARP3_N-Acetyl-DL-methionine,NA,NA,NA,newfound,Normal
Q8R115,TMEM82,Transmembrane protein 82 OS=Mus musculus OX=10090 GN=Tmem82 PE=1 SV=2,liver,N-Acetyl-DL-methionine,-0.0487,no,no,no,TMEM82_N-Acetyl-DL-methionine,NA,NA,NA,newfound,Normal
Q99JW2,ACY1,Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1,liver,N-Acetyl-DL-methionine,-0.36259351,no,no,no,ACY1_N-Acetyl-DL-methionine,RHEA:67440,NA,NA,established,Extreme Outlier
Q9JIZ0,CML1,Probable N-acetyltransferase CML1 OS=Mus musculus OX=10090 GN=Cml1 PE=1 SV=1,liver,N-Acetyl-DL-methionine,0.456319781,no,no,no,CML1_N-Acetyl-DL-methionine,NA,NA,NA,newfound,Extreme Outlier
Q91WK1,SPRYD4,SPRY domain-containing protein 4 OS=Mus musculus OX=10090 GN=Spryd4 PE=1 SV=1,liver,N-Acetyl-DL-methionine,-0.0341,no,yes,no,SPRYD4_N-Acetyl-DL-methionine,NA,NA,NA,newfound,Normal
Q8BJL0,SMARCAL1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 OS=Mus musculus OX=10090 GN=Smarcal1 PE=1 SV=1,liver,4-Acetamidobutyric acid,-0.0422,no,no,no,SMARCAL1_4-Acetamidobutyric acid,NA,NA,NA,newfound,Normal
A0A286YCX6,TRAPPC8,Trafficking protein particle complex 8 OS=Mus musculus OX=10090 GN=Trappc8 PE=1 SV=2,liver,4-Acetamidobutyric acid,-0.0865,no,no,no,TRAPPC8_4-Acetamidobutyric acid,NA,NA,NA,newfound,Normal
Q5DW34,EHMT1,Histone-lysine N-methyltransferase EHMT1 OS=Mus musculus OX=10090 GN=Ehmt1 PE=1 SV=2,liver,4-Acetamidobutyric acid,-0.194685868,no,no,no,EHMT1_4-Acetamidobutyric acid,NA,NA,NA,newfound,Normal
Q91ZP3,LPIN1,Phosphatidate phosphatase LPIN1 OS=Mus musculus OX=10090 GN=Lpin1 PE=1 SV=1,liver,4-Acetamidobutyric acid,0.0117,no,no,yes,LPIN1_4-Acetamidobutyric acid,NA,NA,NA,newfound,Normal
Q99PI5,LPIN2,Phosphatidate phosphatase LPIN2 OS=Mus musculus OX=10090 GN=Lpin2 PE=1 SV=2,liver,4-Acetamidobutyric acid,0.0294,no,no,yes,LPIN2_4-Acetamidobutyric acid,NA,NA,NA,newfound,Normal
Q8QZR1,TAT,Tyrosine aminotransferase OS=Mus musculus OX=10090 GN=Tat PE=1 SV=1,liver,N-Acetyl-L-leucine,0.0505,no,no,yes,TAT_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q8K224,NAT10,RNA cytidine acetyltransferase OS=Mus musculus OX=10090 GN=Nat10 PE=1 SV=1,liver,N-Acetyl-L-leucine,-0.358337463,no,no,no,NAT10_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q64FW2,RETSAT,"All-trans-retinol 13,14-reductase OS=Mus musculus OX=10090 GN=Retsat PE=1 SV=3",liver,N-Acetyl-L-leucine,-0.00613,no,no,no,RETSAT_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
A0A286YCX6,TRAPPC8,Trafficking protein particle complex 8 OS=Mus musculus OX=10090 GN=Trappc8 PE=1 SV=2,liver,N-Acetyl-L-leucine,-0.128632461,no,no,no,TRAPPC8_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q91WT9,CBS,Cystathionine beta-synthase OS=Mus musculus OX=10090 GN=Cbs PE=1 SV=3,liver,N-Acetyl-L-leucine,0.113263837,no,no,yes,CBS_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q9Z2V4,PCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Mus musculus OX=10090 GN=Pck1 PE=1 SV=1",liver,N-Acetyl-L-leucine,0.0427,no,no,yes,PCK1_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q3ULW8,PARP3,Protein mono-ADP-ribosyltransferase PARP3 OS=Mus musculus OX=10090 GN=Parp3 PE=2 SV=1,liver,N-Acetyl-L-leucine,-0.0332,no,no,no,PARP3_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q8VI84,NOC3L,Nucleolar complex protein 3 homolog OS=Mus musculus OX=10090 GN=Noc3l PE=2 SV=2,liver,N-Acetyl-L-leucine,-0.0504,no,no,no,NOC3L_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q99JW2,ACY1,Aminoacylase-1 OS=Mus musculus OX=10090 GN=Acy1 PE=1 SV=1,liver,N-Acetyl-L-leucine,-0.00543,no,no,no,ACY1_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q91Z49,FYTTD1,UAP56-interacting factor OS=Mus musculus OX=10090 GN=Fyttd1 PE=1 SV=1,liver,N-Acetyl-L-leucine,-0.165630142,yes,no,no,FYTTD1_N-Acetyl-L-leucine,NA,NA,NA,newfound,Normal
Q9JIZ0,CML1,Probable N-acetyltransferase CML1 OS=Mus musculus OX=10090 GN=Cml1 PE=1 SV=1,liver,N-Acetyl-L-leucine,0.625457844,no,no,no,CML1_N-Acetyl-L-leucine,NA,NA,NA,newfound,Extreme Outlier
P60334,CDO1,Cysteine dioxygenase type 1 OS=Mus musculus OX=10090 GN=Cdo1 PE=1 SV=1,liver,N-Acetyl-DL-glutamic acid,0.0762,no,no,yes,CDO1_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q8QZR1,TAT,Tyrosine aminotransferase OS=Mus musculus OX=10090 GN=Tat PE=1 SV=1,liver,N-Acetyl-DL-glutamic acid,0.297796914,no,no,yes,TAT_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
P28352,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease OS=Mus musculus OX=10090 GN=Apex1 PE=1 SV=2,liver,N-Acetyl-DL-glutamic acid,-0.0253,no,yes,no,APEX1_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q8CHY6,GATAD2A,Transcriptional repressor p66 alpha OS=Mus musculus OX=10090 GN=Gatad2a PE=1 SV=2,liver,N-Acetyl-DL-glutamic acid,-0.171383186,no,no,no,GATAD2A_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q9QY73,TMEM59,Transmembrane protein 59 OS=Mus musculus OX=10090 GN=Tmem59 PE=1 SV=2,liver,N-Acetyl-DL-glutamic acid,-0.11055337,yes,no,no,TMEM59_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q9EPL9,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3 OS=Mus musculus OX=10090 GN=Acox3 PE=1 SV=2,liver,N-Acetyl-DL-glutamic acid,0.218122934,no,no,yes,ACOX3_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q811U4,MFN1,Mitofusin-1 OS=Mus musculus OX=10090 GN=Mfn1 PE=1 SV=3,liver,N-Acetyl-DL-glutamic acid,0.125294756,yes,yes,no,MFN1_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q91WT9,CBS,Cystathionine beta-synthase OS=Mus musculus OX=10090 GN=Cbs PE=1 SV=3,liver,N-Acetyl-DL-glutamic acid,0.0848,no,no,yes,CBS_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q8BH00,ALDH8A1,2-aminomuconic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh8a1 PE=1 SV=1,liver,N-Acetyl-DL-glutamic acid,0.129657937,no,no,no,ALDH8A1_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
A0A1B0GRV0,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Mus musculus OX=10090 GN=Bpnt1 PE=1 SV=1",liver,N-Acetyl-DL-glutamic acid,-0.00705,no,no,yes,BPNT1_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q3UI43,BABAM1,BRISC and BRCA1-A complex member 1 OS=Mus musculus OX=10090 GN=Babam1 PE=1 SV=1,liver,N-Acetyl-DL-glutamic acid,0.00967,no,no,no,BABAM1_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
P11152,LPL,Lipoprotein lipase OS=Mus musculus OX=10090 GN=Lpl PE=1 SV=3,liver,N-Acetyl-DL-glutamic acid,8.13e-4,no,no,yes,LPL_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q8BYZ7,ELMO3,Engulfment and cell motility protein 3 OS=Mus musculus OX=10090 GN=Elmo3 PE=1 SV=2,liver,N-Acetyl-DL-glutamic acid,0.184397115,no,no,no,ELMO3_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q5RIM6,NCOR1,Nuclear receptor corepressor 1 OS=Mus musculus OX=10090 GN=Ncor1 PE=1 SV=1,liver,N-Acetyl-DL-glutamic acid,-0.158725974,no,no,no,NCOR1_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q8K0F1,TBC1D23,TBC1 domain family member 23 OS=Mus musculus OX=10090 GN=Tbc1d23 PE=1 SV=1,liver,N-Acetyl-DL-glutamic acid,-0.0385,no,no,no,TBC1D23_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q9JJ89,CCDC86,Coiled-coil domain-containing protein 86 OS=Mus musculus OX=10090 GN=Ccdc86 PE=1 SV=2,liver,N-Acetyl-DL-glutamic acid,-0.0707,no,no,no,CCDC86_N-Acetyl-DL-glutamic acid,NA,NA,NA,newfound,Normal
Q8BLY2,TARS3,"Threonine--tRNA ligase 2, cytoplasmic OS=Mus musculus OX=10090 GN=Tars3 PE=1 SV=1",liver,Pantothenic acid,-0.00723,no,no,no,TARS3_Pantothenic acid,NA,NA,NA,newfound,Normal
F8WID5,TPM1,Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1,liver,Pantothenic acid,0.0148,no,no,no,TPM1_Pantothenic acid,NA,NA,NA,newfound,Normal
P52843,SULT2A1,Bile salt sulfotransferase 1 OS=Mus musculus OX=10090 GN=Sult2a1 PE=1 SV=1,liver,Pantothenic acid,-0.0103,no,no,yes,SULT2A1_Pantothenic acid,NA,NA,NA,newfound,Normal
Q61235,SNTB2,Beta-2-syntrophin OS=Mus musculus OX=10090 GN=Sntb2 PE=1 SV=2,liver,Pantothenic acid,0.104500657,no,no,no,SNTB2_Pantothenic acid,NA,NA,NA,newfound,Normal
Q8BWR8,RHPN2,Rhophilin-2 OS=Mus musculus OX=10090 GN=Rhpn2 PE=1 SV=2,liver,Pantothenic acid,-0.178502054,no,no,no,RHPN2_Pantothenic acid,NA,NA,NA,newfound,Normal
P35123,USP4,Ubiquitin carboxyl-terminal hydrolase 4 OS=Mus musculus OX=10090 GN=Usp4 PE=1 SV=3,liver,Pantothenic acid,-0.193311284,no,no,no,USP4_Pantothenic acid,NA,NA,NA,newfound,Normal
A0A0R4J140,CLUH,Clustered mitochondria protein homolog OS=Mus musculus OX=10090 GN=Cluh PE=1 SV=1,liver,Pantothenic acid,-0.0137,no,no,no,CLUH_Pantothenic acid,NA,NA,NA,newfound,Normal
O55143,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus OX=10090 GN=Atp2a2 PE=1 SV=2,liver,Pantothenic acid,0.258111392,yes,no,no,ATP2A2_Pantothenic acid,NA,NA,NA,newfound,Normal
Q91XC9,PEX16,Peroxisomal membrane protein PEX16 OS=Mus musculus OX=10090 GN=Pex16 PE=1 SV=2,liver,Pantothenic acid,-0.0611,yes,no,no,PEX16_Pantothenic acid,NA,NA,NA,newfound,Normal
Q8VEH5,EPM2AIP1,EPM2A-interacting protein 1 OS=Mus musculus OX=10090 GN=Epm2aip1 PE=1 SV=1,liver,Pantothenic acid,-0.0758,no,no,no,EPM2AIP1_Pantothenic acid,NA,NA,NA,newfound,Normal
Q8R5A0,SMYD2,N-lysine methyltransferase SMYD2 OS=Mus musculus OX=10090 GN=Smyd2 PE=1 SV=1,liver,Pantothenic acid,-0.0156,no,no,no,SMYD2_Pantothenic acid,NA,NA,NA,newfound,Normal
Q921I9,EXOSC4,Exosome complex component RRP41 OS=Mus musculus OX=10090 GN=Exosc4 PE=1 SV=3,liver,Pantothenic acid,-0.0165,no,no,no,EXOSC4_Pantothenic acid,NA,NA,NA,newfound,Normal
Q8BM88,CTSO,Cathepsin O OS=Mus musculus OX=10090 GN=Ctso PE=2 SV=1,liver,Pantothenic acid,-6.7e-4,no,no,no,CTSO_Pantothenic acid,NA,NA,NA,newfound,Normal
A0A338P6K2,MYH11,Myosin-11 OS=Mus musculus OX=10090 GN=Myh11 PE=1 SV=1,liver,Pantothenic acid,0.00339,no,no,no,MYH11_Pantothenic acid,NA,NA,NA,newfound,Normal
P97864,CASP7,Caspase-7 OS=Mus musculus OX=10090 GN=Casp7 PE=1 SV=2,liver,Pantothenic acid,-0.0448,yes,no,yes,CASP7_Pantothenic acid,NA,NA,NA,newfound,Normal
Q3U7U3,FBXO7,F-box only protein 7 OS=Mus musculus OX=10090 GN=Fbxo7 PE=1 SV=2,liver,Pantothenic acid,-0.0316,no,no,no,FBXO7_Pantothenic acid,NA,NA,NA,newfound,Normal
Q9EPQ7,STARD5,StAR-related lipid transfer protein 5 OS=Mus musculus OX=10090 GN=Stard5 PE=1 SV=2,liver,Pantothenic acid,-0.110335398,no,no,no,STARD5_Pantothenic acid,NA,NA,NA,newfound,Normal
Q6XLQ8,CALU,Calumenin OS=Mus musculus OX=10090 GN=Calu PE=1 SV=1,liver,Pantothenic acid,0.160696666,no,no,no,CALU_Pantothenic acid,NA,NA,NA,newfound,Normal
Q9CWR1,WDR73,WD repeat-containing protein 73 OS=Mus musculus OX=10090 GN=Wdr73 PE=1 SV=1,liver,Pantothenic acid,-0.0172,no,no,no,WDR73_Pantothenic acid,NA,NA,NA,newfound,Normal
P52623,UCK1,Uridine-cytidine kinase 1 OS=Mus musculus OX=10090 GN=Uck1 PE=1 SV=2,liver,Pantothenic acid,-0.00387,no,no,yes,UCK1_Pantothenic acid,NA,NA,NA,newfound,Normal
Q8R0J8,IDNK,Probable gluconokinase OS=Mus musculus OX=10090 GN=Idnk PE=1 SV=2,liver,Pantothenic acid,-0.0297,no,no,yes,IDNK_Pantothenic acid,NA,NA,NA,newfound,Normal
D3Z7P3,GLS,"Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1",liver,alpha-Ketoglutarate,-0.244476603,no,yes,yes,GLS_alpha-Ketoglutarate,NA,R-MMU-8964539;R-HSA-8964539,NA,established,Normal
E9QM38,SLC12A2,Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1,liver,N-alpha-Acetyl-L-asparagine,0.0309,yes,no,no,SLC12A2_N-alpha-Acetyl-L-asparagine,NA,NA,NA,newfound,Normal
Q8BIJ7,RUFY1,RUN and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rufy1 PE=1 SV=1,liver,N-alpha-Acetyl-L-asparagine,0.0247,no,no,no,RUFY1_N-alpha-Acetyl-L-asparagine,NA,NA,NA,newfound,Normal
Q8VC12,UROC1,Urocanate hydratase OS=Mus musculus OX=10090 GN=Uroc1 PE=1 SV=2,liver,N-alpha-Acetyl-L-asparagine,-0.056,no,no,yes,UROC1_N-alpha-Acetyl-L-asparagine,NA,NA,NA,newfound,Normal
