ID	gene.symbol.x	uniprot.id	chebi.identifier	chebi.name	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
2.A.29.20.1	SLC25A17	O43808	CHEBI:2356	adenosine 5'-monophosphate	SLC25A17_CHEBI:2356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.20.1	SLC25A17	O43808	CHEBI:2342	ADP	SLC25A17_CHEBI:2342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.20.1	SLC25A17	O43808	CHEBI:2475	adenosine 3',5'-bismonophosphate	SLC25A17_CHEBI:2475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.20.1	SLC25A17	O43808	CHEBI:7422	NAD(+)	SLC25A17_CHEBI:7422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.8.3	SLC25A20	O43772	CHEBI:3424	carnitinium	SLC25A20_CHEBI:3424	sp|Q9Z2Z6|MCAT_MOUSE	SLC25A20	protein	L-Carnitine	metabolite	0.6565180097494242	0	163	0	SLC25A20_L-Carnitine	(R)-carnitinium	CHEBI:39547	primary	19	CHEBI:3424	18	carnitinium	SLC25A20_L-Carnitine_CHEBI:3424	TCDB
2.A.29.2.4	SLC25A21	Q9BQT8	CHEBI:2175	pimelate(1-)	SLC25A21_CHEBI:2175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.2.4	SLC25A21	Q9BQT8	CHEBI:16810	2-oxoglutarate(2-)	SLC25A21_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.2.4	SLC25A21	Q9BQT8	CHEBI:1247	2-oxoadipic acid	SLC25A21_CHEBI:1247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.14.3	SLC25A22	Q9H936	CHEBI:29987	glutamate(2-)	SLC25A22_CHEBI:29987	sp|Q9D6M3|GHC1_MOUSE	SLC25A22	protein	L-Glutamic acid	metabolite	0.4191906398824514	2.556883171855873e-8	163	1.0135496901444049e-6	SLC25A22_L-Glutamic acid	L-glutamate(2−)	CHEBI:29988	primary	31	CHEBI:29987	23	glutamate(2-)	SLC25A22_L-Glutamic acid_CHEBI:29987	TCDB
2.A.29.8.5	SLC25A29	Q8BL03	CHEBI:3424	carnitinium	SLC25A29_CHEBI:3424	sp|Q8BL03|MCATL_MOUSE	SLC25A29	protein	L-Carnitine	metabolite	0.47606472737061323	1.3376943996945556e-10	163	1.0191711741672862e-8	SLC25A29_L-Carnitine	(R)-carnitinium	CHEBI:39547	primary	19	CHEBI:3424	18	carnitinium	SLC25A29_L-Carnitine_CHEBI:3424	TCDB
2.A.29.8.9	SLC25A29	Q8N8R3	CHEBI:7784	ornithine	SLC25A29_CHEBI:7784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.1.8	SLC25A31	Q9H0C2	CHEBI:2342	ADP	SLC25A31_CHEBI:2342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.1.2	SLC25A4	P12235	CHEBI:2342	ADP	SLC25A4_CHEBI:2342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.29.12.2	SLC25A42	Q86VD7	CHEBI:2342	ADP	SLC25A42_CHEBI:2342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.53.2.7	SLC26A6	Q9BXS9	CHEBI:30623	oxalate(2-)	SLC26A6_CHEBI:30623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.41.2.4	SLC28A2	O43868	CHEBI:9893	uridine	SLC28A2_CHEBI:9893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.57.1.1	SLC29A1	Q99808	CHEBI:33838	nucleoside	SLC29A1_CHEBI:33838	sp|Q9JIM1|S29A1_MOUSE	SLC29A1	protein	Adenosine	metabolite	0.24682490687458017	0.00149172319900348	163	0.0103959059633814	SLC29A1_Adenosine	adenosine	CHEBI:16335	primary	52	CHEBI:33838	35	nucleoside	SLC29A1_Adenosine_CHEBI:33838	TCDB
2.A.57.1.1	SLC29A1	Q99808	CHEBI:18282	nucleobase	SLC29A1_CHEBI:18282	sp|Q9JIM1|S29A1_MOUSE	SLC29A1	protein	Adenine	metabolite	0.30832528486348887	6.22449366813882e-5	163	7.696634042792425e-4	SLC29A1_Adenine	adenine	CHEBI:16708	primary	34	CHEBI:18282	19	nucleobase	SLC29A1_Adenine_CHEBI:18282	TCDB
2.A.1.1.28	SLC2A1	P11166	CHEBI:4167	D-glucopyranose	SLC2A1_CHEBI:4167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.1.91	SLC2A3	P11169	CHEBI:5417	glucosamine	SLC2A3_CHEBI:5417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.1.91	SLC2A3	P11169	CHEBI:5182	fucose	SLC2A3_CHEBI:5182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.1.91	SLC2A3	P11169	CHEBI:15866	2-deoxy-D-glucose	SLC2A3_CHEBI:15866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.1.91	SLC2A3	P11169	CHEBI:10085	xylose	SLC2A3_CHEBI:10085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.7.12.1	SLC35A1	Q61420	CHEBI:3275	cytidine 5'-monophosphate	SLC35A1_CHEBI:3275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.7.12.11	SLC35A1	P78382	CHEBI:3275	cytidine 5'-monophosphate	SLC35A1_CHEBI:3275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.7.12.13	SLC35F6	Q8N357	CHEBI:25609	nucleotide-sugar	SLC35F6_CHEBI:25609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.4.8	SLC37A2	Q8TED4	CHEBI:57597	sn-glycerol 3-phosphate(2-)	SLC37A2_CHEBI:57597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.4.8	SLC37A2	Q8TED4	CHEBI:10648	sn-glycerol 3-phosphate	SLC37A2_CHEBI:10648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.4.5	SLC37A4	O43826	CHEBI:4170	D-glucopyranose 6-phosphate	SLC37A4_CHEBI:4170	tr|A0A1L1SUI3|A0A1L1SUI3_MOUSE	SLC37A4	protein	D-Glucose/Frucotose 6-phosphate	metabolite	0.8082856022773923	0	163	0	SLC37A4_D-Glucose/Frucotose 6-phosphate	α-D-glucose 6-phosphate	CHEBI:17665	primary	44	CHEBI:4170	43	D-glucopyranose 6-phosphate	SLC37A4_D-Glucose/Frucotose 6-phosphate_CHEBI:4170	TCDB
2.A.1.4.5	SLC37A4	O43826	CHEBI:17719	beta-D-glucose 6-phosphate	SLC37A4_CHEBI:17719	tr|A0A1L1SUI3|A0A1L1SUI3_MOUSE	SLC37A4	protein	D-Glucose/Frucotose 6-phosphate	metabolite	0.8082856022773923	0	163	0	SLC37A4_D-Glucose/Frucotose 6-phosphate	β-D-glucose 6-phosphate	CHEBI:17719	primary	44	CHEBI:17719	44	beta-D-glucose 6-phosphate	SLC37A4_D-Glucose/Frucotose 6-phosphate_CHEBI:17719	TCDB
2.A.18.6.16	SLC38A10	Q9HBR0	CHEBI:21244	L-aspartate(1-)	SLC38A10_CHEBI:21244	sp|Q5I012|S38AA_MOUSE	SLC38A10	protein	L-Aspartic acid	metabolite	-0.24894950240924996	0.0013528818458548	163	0.00961507834639486	SLC38A10_L-Aspartic acid	L-aspartate(1−)	CHEBI:21244	secondary	100	CHEBI:21244	100	L-aspartate(1−)	SLC38A10_L-Aspartic acid_CHEBI:21244	TCDB
2.A.18.6.16	SLC38A10	Q9HBR0	CHEBI:21301	L-glutamate(1-)	SLC38A10_CHEBI:21301	sp|Q5I012|S38AA_MOUSE	SLC38A10	protein	L-Glutamic acid	metabolite	-0.3188894141405621	3.341993303584978e-5	163	4.578686900375331e-4	SLC38A10_L-Glutamic acid	L-glutamate(1−)	CHEBI:21301	secondary	100	CHEBI:21301	100	L-glutamate(1−)	SLC38A10_L-Glutamic acid_CHEBI:21301	TCDB
2.A.18.6.16	SLC38A10	Q9HBR0	CHEBI:6227	L-glutamine	SLC38A10_CHEBI:6227	sp|Q5I012|S38AA_MOUSE	SLC38A10	protein	L-Glutamine	metabolite	-0.39973445808242614	1.2484238198773312e-7	163	3.977925817567447e-6	SLC38A10_L-Glutamine	L-glutamine	CHEBI:6227	secondary	100	CHEBI:6227	100	L-glutamine	SLC38A10_L-Glutamine_CHEBI:6227	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6271	L-methionine	SLC38A2_CHEBI:6271	sp|Q8CFE6|S38A2_MOUSE	SLC38A2	protein	L-Methionine	metabolite	-0.23811688595948455	0.00882085833578916	120	0.04235297929849756	SLC38A2_L-Methionine	L-methionine	CHEBI:6271	secondary	100	CHEBI:6271	100	L-methionine	SLC38A2_L-Methionine_CHEBI:6271	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:33704	alpha-amino acid	SLC38A2_CHEBI:33704	sp|Q8CFE6|S38A2_MOUSE	SLC38A2	protein	cis-4-Hydroxy-D-proline/N-Acetyl-L-alanine	metabolite	0.3283848185345947	2.505380676764979e-4	120	0.00243901866913146	SLC38A2_cis-4-Hydroxy-D-proline/N-Acetyl-L-alanine	cis-4-hydroxy-L-proline	CHEBI:28397	primary	54	CHEBI:33704	30	alpha-amino acid	SLC38A2_cis-4-Hydroxy-D-proline/N-Acetyl-L-alanine_CHEBI:33704	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6191	L-asparagine	SLC38A2_CHEBI:6191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6308	L-threonine	SLC38A2_CHEBI:6308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6227	L-glutamine	SLC38A2_CHEBI:6227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6286	L-proline	SLC38A2_CHEBI:6286	sp|Q8CFE6|S38A2_MOUSE	SLC38A2	protein	L-Proline	metabolite	-0.24327646744155915	0.00741925479050498	120	0.0370499975392992	SLC38A2_L-Proline	L-proline	CHEBI:6286	secondary	100	CHEBI:6286	100	L-proline	SLC38A2_L-Proline_CHEBI:6286	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6171	L-alanine	SLC38A2_CHEBI:6171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6301	L-serine	SLC38A2_CHEBI:6301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:5460	glycine	SLC38A2_CHEBI:5460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.18.6.5	SLC38A2	Q96QD8	CHEBI:6282	L-phenylalanine	SLC38A2_CHEBI:6282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.18.9.1	SLC38A9	Q8NBW4	CHEBI:33704	alpha-amino acid	SLC38A9_CHEBI:33704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.3.8.18	SLC3A2	P08195	CHEBI:29987	glutamate(2-)	SLC3A2_CHEBI:29987	sp|P10852-2|4F2_MOUSE	SLC3A2	protein	L-Glutamic acid	metabolite	-0.2283293382313107	0.00337323732515448	163	0.01994114054664418	SLC3A2_L-Glutamic acid	L-glutamate(2−)	CHEBI:29988	primary	31	CHEBI:29987	23	glutamate(2-)	SLC3A2_L-Glutamic acid_CHEBI:29987	TCDB
2.A.3.8.5	SLC3A2	P10852	CHEBI:29987	glutamate(2-)	SLC3A2_CHEBI:29987	sp|P10852-2|4F2_MOUSE	SLC3A2	protein	L-Glutamic acid	metabolite	-0.2283293382313107	0.00337323732515448	163	0.01994114054664418	SLC3A2_L-Glutamic acid	L-glutamate(2−)	CHEBI:29988	primary	31	CHEBI:29987	23	glutamate(2-)	SLC3A2_L-Glutamic acid_CHEBI:29987	TCDB
2.A.1.44.1	SLC43A1	O75387	CHEBI:6321	L-valine	SLC43A1_CHEBI:6321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.44.1	SLC43A1	O75387	CHEBI:6282	L-phenylalanine	SLC43A1_CHEBI:6282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCDB
2.A.1.44.2	SLC43A2	Q8N370	CHEBI:6321	L-valine	SLC43A2_CHEBI:6321	sp|Q8CGA3|LAT4_MOUSE	SLC43A2	protein	L-Valine	metabolite	-0.21988783644542104	0.00765776560223208	146	0.03797308336481778	SLC43A2_L-Valine	L-valine	CHEBI:6321	secondary	100	CHEBI:6321	100	L-valine	SLC43A2_L-Valine_CHEBI:6321	TCDB
