Uniprot.accession,Gene.symbol,Description,tissue,Variable,Value,transporter,mito,meta,edge,rhea,reactome,TCDB,edge_type,Outlier
P70227,ITPR3,"Inositol 1,4,5-trisphosphate receptor type 3 OS=Mus musculus OX=10090 GN=Itpr3 PE=1 SV=3",bat,Hypotaurine,0.085,no,no,no,ITPR3_Hypotaurine,NA,NA,NA,newfound,Normal
P02463,COL4A1,Collagen alpha-1(IV) chain OS=Mus musculus OX=10090 GN=Col4a1 PE=1 SV=4,bat,Hypotaurine,0.0699,no,no,no,COL4A1_Hypotaurine,NA,NA,NA,newfound,Normal
Q3U2V3,NUDT18,8-oxo-dGDP phosphatase NUDT18 OS=Mus musculus OX=10090 GN=Nudt18 PE=1 SV=1,bat,Hypotaurine,0.0668,no,no,yes,NUDT18_Hypotaurine,NA,NA,NA,newfound,Normal
Q3V384,AFG1L,AFG1-like ATPase OS=Mus musculus OX=10090 GN=Afg1l PE=1 SV=1,bat,Hypotaurine,0.0619,no,yes,no,AFG1L_Hypotaurine,NA,NA,NA,newfound,Normal
Q921U8-2,SMTN,Isoform L2 of Smoothelin OS=Mus musculus OX=10090 GN=Smtn,bat,Hypotaurine,0.0598,no,no,no,SMTN_Hypotaurine,NA,NA,NA,newfound,Normal
B2KF57,PDE4D,Phosphodiesterase (Fragment) OS=Mus musculus OX=10090 GN=Pde4d PE=1 SV=1,bat,Hypotaurine,0.0563,no,no,yes,PDE4D_Hypotaurine,NA,NA,NA,newfound,Normal
Q00493,CPE,Carboxypeptidase E OS=Mus musculus OX=10090 GN=Cpe PE=1 SV=2,bat,Hypotaurine,0.0484,no,no,no,CPE_Hypotaurine,NA,NA,NA,newfound,Normal
O88735-2,MAP7,Isoform 2 of Ensconsin OS=Mus musculus OX=10090 GN=Map7,bat,Hypotaurine,0.043,no,no,no,MAP7_Hypotaurine,NA,NA,NA,newfound,Normal
P42703,LIFR,Leukemia inhibitory factor receptor OS=Mus musculus OX=10090 GN=Lifr PE=1 SV=1,bat,Hypotaurine,0.0408,no,no,no,LIFR_Hypotaurine,NA,NA,NA,newfound,Normal
Q9WU63,HEBP2,Heme-binding protein 2 OS=Mus musculus OX=10090 GN=Hebp2 PE=1 SV=1,bat,Hypotaurine,0.0256,no,no,no,HEBP2_Hypotaurine,NA,NA,NA,newfound,Normal
Q9WUP0,RAMP2,Receptor activity-modifying protein 2 OS=Mus musculus OX=10090 GN=Ramp2 PE=1 SV=1,bat,Hypotaurine,0.0253,yes,no,no,RAMP2_Hypotaurine,NA,NA,NA,newfound,Normal
E9Q3A7,CDH19,"Cadherin 19, type 2 OS=Mus musculus OX=10090 GN=Cdh19 PE=1 SV=1",bat,Hypotaurine,0.0243,no,no,no,CDH19_Hypotaurine,NA,NA,NA,newfound,Normal
Q9CS74,ECD,Protein ecdysoneless homolog OS=Mus musculus OX=10090 GN=Ecd PE=1 SV=2,bat,Hypotaurine,0.0196,no,no,no,ECD_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BGK9,NA,Uncharacterized protein C3orf18 homolog OS=Mus musculus OX=10090 PE=2 SV=1,bat,Hypotaurine,0.0196,no,no,no,NA_Hypotaurine,NA,NA,NA,newfound,Normal
Q9JLZ6,HIC2,Hypermethylated in cancer 2 protein OS=Mus musculus OX=10090 GN=Hic2 PE=2 SV=4,bat,Hypotaurine,0.0188,no,no,no,HIC2_Hypotaurine,NA,NA,NA,newfound,Normal
A2AKX3,SETX,Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx PE=1 SV=1,bat,Hypotaurine,0.0137,no,no,no,SETX_Hypotaurine,NA,NA,NA,newfound,Normal
Q8R2K1,FUOM,Fucose mutarotase OS=Mus musculus OX=10090 GN=Fuom PE=1 SV=1,bat,Hypotaurine,0.00607,no,no,no,FUOM_Hypotaurine,NA,NA,NA,newfound,Normal
P10404,NA,MLV-related proviral Env polyprotein OS=Mus musculus OX=10090 PE=1 SV=3,bat,Hypotaurine,0.00415,no,no,no,NA_Hypotaurine,NA,NA,NA,newfound,Normal
Q3THJ3,EIF1AD,Probable RNA-binding protein EIF1AD OS=Mus musculus OX=10090 GN=Eif1ad PE=1 SV=2,bat,Hypotaurine,0.00278,no,no,no,EIF1AD_Hypotaurine,NA,NA,NA,newfound,Normal
Q6PDX6,RNF220,E3 ubiquitin-protein ligase Rnf220 OS=Mus musculus OX=10090 GN=Rnf220 PE=1 SV=1,bat,Hypotaurine,-0.00193,no,no,no,RNF220_Hypotaurine,NA,NA,NA,newfound,Normal
P45376,AKR1B1,Aldo-keto reductase family 1 member B1 OS=Mus musculus OX=10090 GN=Akr1b1 PE=1 SV=3,bat,Hypotaurine,-0.00403,no,no,yes,AKR1B1_Hypotaurine,NA,NA,NA,newfound,Normal
Q9D711,PIR,Pirin OS=Mus musculus OX=10090 GN=Pir PE=1 SV=1,bat,Hypotaurine,-0.00561,no,no,no,PIR_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BHG2-3,CZIB,Isoform 3 of CXXC motif containing zinc binding protein OS=Mus musculus OX=10090 GN=Czib,bat,Hypotaurine,-0.00645,no,no,no,CZIB_Hypotaurine,NA,NA,NA,newfound,Normal
P50294,NAT1,Arylamine N-acetyltransferase 1 OS=Mus musculus OX=10090 GN=Nat1 PE=1 SV=1,bat,Hypotaurine,-0.00883,no,no,yes,NAT1_Hypotaurine,NA,NA,NA,newfound,Normal
Q61503,NT5E,5'-nucleotidase OS=Mus musculus OX=10090 GN=Nt5e PE=1 SV=2,bat,Hypotaurine,-0.0138,no,no,yes,NT5E_Hypotaurine,NA,NA,NA,newfound,Normal
Q9ERT9,PPP1R1A,Protein phosphatase 1 regulatory subunit 1A OS=Mus musculus OX=10090 GN=Ppp1r1a PE=1 SV=1,bat,Hypotaurine,-0.014,no,no,no,PPP1R1A_Hypotaurine,NA,NA,NA,newfound,Normal
Q9DBW0,CYP4V2,Cytochrome P450 4V2 OS=Mus musculus OX=10090 GN=Cyp4v2 PE=1 SV=1,bat,Hypotaurine,-0.0144,no,no,no,CYP4V2_Hypotaurine,NA,NA,NA,newfound,Normal
Q60590,ORM1,Alpha-1-acid glycoprotein 1 OS=Mus musculus OX=10090 GN=Orm1 PE=1 SV=1,bat,Hypotaurine,-0.0168,no,no,no,ORM1_Hypotaurine,NA,NA,NA,newfound,Normal
Q8R1G2,CMBL,Carboxymethylenebutenolidase homolog OS=Mus musculus OX=10090 GN=Cmbl PE=1 SV=1,bat,Hypotaurine,-0.0171,no,no,no,CMBL_Hypotaurine,NA,NA,NA,newfound,Normal
Q9D020,NT5C3A,Cytosolic 5'-nucleotidase 3A OS=Mus musculus OX=10090 GN=Nt5c3a PE=1 SV=4,bat,Hypotaurine,-0.0186,no,no,yes,NT5C3A_Hypotaurine,NA,NA,NA,newfound,Normal
Q05921,RNASEL,2-5A-dependent ribonuclease OS=Mus musculus OX=10090 GN=Rnasel PE=1 SV=2,bat,Hypotaurine,-0.0203,no,no,no,RNASEL_Hypotaurine,NA,NA,NA,newfound,Normal
P58749,TM6SF1,Transmembrane 6 superfamily member 1 OS=Mus musculus OX=10090 GN=Tm6sf1 PE=2 SV=2,bat,Hypotaurine,-0.0245,yes,no,no,TM6SF1_Hypotaurine,NA,NA,NA,newfound,Normal
Q9D3P8,PLGRKT,Plasminogen receptor (KT) OS=Mus musculus OX=10090 GN=Plgrkt PE=1 SV=1,bat,Hypotaurine,-0.0256,no,yes,no,PLGRKT_Hypotaurine,NA,NA,NA,newfound,Normal
Q9Z1M4,RPS6KB2,Ribosomal protein S6 kinase beta-2 OS=Mus musculus OX=10090 GN=Rps6kb2 PE=1 SV=1,bat,Hypotaurine,-0.0264,no,no,no,RPS6KB2_Hypotaurine,NA,NA,NA,newfound,Normal
Q91YP2,NLN,"Neurolysin, mitochondrial OS=Mus musculus OX=10090 GN=Nln PE=1 SV=1",bat,Hypotaurine,-0.0297,no,yes,no,NLN_Hypotaurine,NA,NA,NA,newfound,Normal
Q9JK39-2,BTNL10,Isoform 2 of Butyrophilin-like protein 10 OS=Mus musculus OX=10090 GN=Btnl10,bat,Hypotaurine,-0.0346,no,no,no,BTNL10_Hypotaurine,NA,NA,NA,newfound,Normal
Q9R257,HEBP1,Heme-binding protein 1 OS=Mus musculus OX=10090 GN=Hebp1 PE=1 SV=2,bat,Hypotaurine,-0.0393,no,yes,no,HEBP1_Hypotaurine,NA,NA,NA,newfound,Normal
P12790,CYP2B9,Cytochrome P450 2B9 OS=Mus musculus OX=10090 GN=Cyp2b9 PE=1 SV=2,bat,Hypotaurine,-0.0412,no,no,no,CYP2B9_Hypotaurine,NA,NA,NA,newfound,Normal
Q9EQP2,EHD4,EH domain-containing protein 4 OS=Mus musculus OX=10090 GN=Ehd4 PE=1 SV=1,bat,Hypotaurine,-0.0426,no,no,no,EHD4_Hypotaurine,NA,NA,NA,newfound,Normal
P11404,FABP3,"Fatty acid-binding protein, heart OS=Mus musculus OX=10090 GN=Fabp3 PE=1 SV=5",bat,Hypotaurine,-0.0436,no,no,no,FABP3_Hypotaurine,NA,NA,NA,newfound,Normal
Q8JZU6,PXDC1,PX domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pxdc1 PE=2 SV=2,bat,Hypotaurine,-0.0458,no,no,no,PXDC1_Hypotaurine,NA,NA,NA,newfound,Normal
Q9DCU9,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial OS=Mus musculus OX=10090 GN=Hoga1 PE=1 SV=1",bat,Hypotaurine,-0.0556,no,yes,yes,HOGA1_Hypotaurine,NA,NA,NA,newfound,Normal
O09131,GSTO1,Glutathione S-transferase omega-1 OS=Mus musculus OX=10090 GN=Gsto1 PE=1 SV=2,bat,Hypotaurine,-0.0578,no,no,yes,GSTO1_Hypotaurine,NA,NA,NA,newfound,Normal
Q4FZC9,SYNE3,Nesprin-3 OS=Mus musculus OX=10090 GN=Syne3 PE=1 SV=1,bat,Hypotaurine,-0.0666,no,no,no,SYNE3_Hypotaurine,NA,NA,NA,newfound,Normal
Q9DBG1,CYP27A1,"Sterol 26-hydroxylase, mitochondrial OS=Mus musculus OX=10090 GN=Cyp27a1 PE=1 SV=1",bat,Hypotaurine,-0.0672,no,yes,yes,CYP27A1_Hypotaurine,NA,NA,NA,newfound,Normal
Q99KG3-2,RBM10,Isoform 2 of RNA-binding protein 10 OS=Mus musculus OX=10090 GN=Rbm10,bat,Hypotaurine,-0.0679,no,no,no,RBM10_Hypotaurine,NA,NA,NA,newfound,Normal
P97348,RHOD,Rho-related GTP-binding protein RhoD OS=Mus musculus OX=10090 GN=Rhod PE=1 SV=1,bat,Hypotaurine,-0.0729,no,no,no,RHOD_Hypotaurine,NA,NA,NA,newfound,Normal
P59325,EIF5,Eukaryotic translation initiation factor 5 OS=Mus musculus OX=10090 GN=Eif5 PE=1 SV=1,bat,Hypotaurine,-0.0738,no,no,no,EIF5_Hypotaurine,NA,NA,NA,newfound,Normal
Q922D8,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus OX=10090 GN=Mthfd1 PE=1 SV=4",bat,Hypotaurine,-0.0782,no,no,yes,MTHFD1_Hypotaurine,NA,NA,NA,newfound,Normal
P51655,GPC4,Glypican-4 OS=Mus musculus OX=10090 GN=Gpc4 PE=1 SV=2,bat,Hypotaurine,-0.0801,no,no,no,GPC4_Hypotaurine,NA,NA,NA,newfound,Normal
Q3UQ17,ZBTB16,Zinc finger and BTB domain-containing 16 OS=Mus musculus OX=10090 GN=Zbtb16 PE=1 SV=1,bat,Hypotaurine,-0.0858,no,no,no,ZBTB16_Hypotaurine,NA,NA,NA,newfound,Normal
Q505D9,TRIM67,Tripartite motif-containing protein 67 OS=Mus musculus OX=10090 GN=Trim67 PE=2 SV=1,bat,Hypotaurine,-0.0925,no,no,no,TRIM67_Hypotaurine,NA,NA,NA,newfound,Normal
Q9Z2L7,CRLF3,Cytokine receptor-like factor 3 OS=Mus musculus OX=10090 GN=Crlf3 PE=1 SV=1,bat,Hypotaurine,-0.0929,no,no,no,CRLF3_Hypotaurine,NA,NA,NA,newfound,Normal
Q8C5W3-2,TBCEL,Isoform 2 of Tubulin-specific chaperone cofactor E-like protein OS=Mus musculus OX=10090 GN=Tbcel,bat,Hypotaurine,-0.103008025,no,no,no,TBCEL_Hypotaurine,NA,NA,NA,newfound,Normal
Q6P9N8,TRAK2,"Trafficking protein, kinesin-binding 2 OS=Mus musculus OX=10090 GN=Trak2 PE=1 SV=1",bat,Hypotaurine,-0.11400002100000001,no,no,no,TRAK2_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BHL8,PSMF1,Proteasome inhibitor PI31 subunit OS=Mus musculus OX=10090 GN=Psmf1 PE=1 SV=1,bat,Hypotaurine,-0.144721412,no,no,no,PSMF1_Hypotaurine,NA,NA,NA,newfound,Normal
P39876,TIMP3,Metalloproteinase inhibitor 3 OS=Mus musculus OX=10090 GN=Timp3 PE=1 SV=1,bat,Hypotaurine,-0.147365237,no,no,no,TIMP3_Hypotaurine,NA,NA,NA,newfound,Normal
Q6PIE5,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus OX=10090 GN=Atp1a2 PE=1 SV=1,bat,Hypotaurine,-0.154500267,yes,no,yes,ATP1A2_Hypotaurine,NA,NA,NA,newfound,Normal
Q8K2I1,FNTB,Protein farnesyltransferase subunit beta OS=Mus musculus OX=10090 GN=Fntb PE=1 SV=1,bat,Hypotaurine,-0.162030823,no,no,no,FNTB_Hypotaurine,NA,NA,NA,newfound,Normal
Q91XE4,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Mus musculus OX=10090 GN=Acy3 PE=1 SV=1,bat,Hypotaurine,-0.16881754,no,no,no,ACY3_Hypotaurine,NA,NA,NA,newfound,Normal
Q923U0,TOM1L1,TOM1-like protein 1 OS=Mus musculus OX=10090 GN=Tom1l1 PE=1 SV=1,bat,Hypotaurine,-0.173461634,no,no,no,TOM1L1_Hypotaurine,NA,NA,NA,newfound,Normal
Q9Z1P8,ANGPTL4,Angiopoietin-related protein 4 OS=Mus musculus OX=10090 GN=Angptl4 PE=1 SV=1,bat,Hypotaurine,-0.18182895,no,no,no,ANGPTL4_Hypotaurine,NA,NA,NA,newfound,Normal
Q5XPI3-2,RNF123,Isoform 2 of E3 ubiquitin-protein ligase RNF123 OS=Mus musculus OX=10090 GN=Rnf123,bat,Hypotaurine,-0.187524769,no,no,no,RNF123_Hypotaurine,NA,NA,NA,newfound,Normal
E9Q3L2,PI4KA,Phosphatidylinositol 4-kinase alpha OS=Mus musculus OX=10090 GN=Pi4ka PE=1 SV=2,bat,Hypotaurine,-0.21295582,no,no,no,PI4KA_Hypotaurine,NA,NA,NA,newfound,Normal
O54785,LIMK2,LIM domain kinase 2 OS=Mus musculus OX=10090 GN=Limk2 PE=1 SV=2,bat,Hypotaurine,-0.229284024,no,no,no,LIMK2_Hypotaurine,NA,NA,NA,newfound,Normal
Q8BHZ0,CYRIA,CYFIP-related Rac1 interactor A OS=Mus musculus OX=10090 GN=Cyria PE=1 SV=1,bat,Hypotaurine,-0.434902546,no,no,no,CYRIA_Hypotaurine,NA,NA,NA,newfound,Extreme Outlier
P50285,FMO1,Dimethylaniline monooxygenase [N-oxide-forming] 1 OS=Mus musculus OX=10090 GN=Fmo1 PE=1 SV=1,bat,Hypotaurine,-0.485235304,no,no,no,FMO1_Hypotaurine,RHEA:69819;RHEA:74111,R-MMU-1614558;R-HSA-1614558,NA,established,Extreme Outlier
Q3UGP9,LRRC58,Leucine-rich repeat-containing protein 58 OS=Mus musculus OX=10090 GN=Lrrc58 PE=2 SV=1,bat,Hypotaurine,-0.566847639,no,no,no,LRRC58_Hypotaurine,NA,NA,NA,newfound,Extreme Outlier
P34928,APOC1,Apolipoprotein C-I OS=Mus musculus OX=10090 GN=Apoc1 PE=1 SV=1,bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,5.09e-4,no,no,no,APOC1_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
P63300,SELENOW,Selenoprotein W OS=Mus musculus OX=10090 GN=Selenow PE=1 SV=3,bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,0.00237,no,no,no,SELENOW_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
Q9Z321,TOP3B,DNA topoisomerase 3-beta-1 OS=Mus musculus OX=10090 GN=Top3b PE=1 SV=1,bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,-0.0076,no,no,no,TOP3B_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
Q922G2,FAM76A,Protein FAM76A OS=Mus musculus OX=10090 GN=Fam76a PE=2 SV=1,bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,-0.138600507,no,no,no,FAM76A_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
Q811S7,UBP1,Upstream-binding protein 1 OS=Mus musculus OX=10090 GN=Ubp1 PE=1 SV=1,bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,-0.0453,no,no,no,UBP1_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
Q6NVE9,PPTC7,Protein phosphatase PTC7 homolog OS=Mus musculus OX=10090 GN=Pptc7 PE=1 SV=1,bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,-0.0362,no,yes,no,PPTC7_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
Q8VCE6,NT5M,"5'(3')-deoxyribonucleotidase, mitochondrial OS=Mus musculus OX=10090 GN=Nt5m PE=1 SV=1",bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,-0.0317,no,yes,yes,NT5M_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
Q8BQM9-2,MED12L,Isoform 2 of Mediator of RNA polymerase II transcription subunit 12-like protein OS=Mus musculus OX=10090 GN=Med12l,bat,(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,-0.150369675,no,no,no,MED12L_(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid,NA,NA,NA,newfound,Normal
Q9DBR4,APBB2,Amyloid-beta A4 precursor protein-binding family B member 2 OS=Mus musculus OX=10090 GN=Apbb2 PE=1 SV=2,bat,1.Hydroxy.2.naphthoic.acid,-0.201851327,no,no,no,APBB2_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
Q3TIR1-2,TRAPPC13,Isoform 2 of Trafficking protein particle complex subunit 13 OS=Mus musculus OX=10090 GN=Trappc13,bat,1.Hydroxy.2.naphthoic.acid,-0.0767,no,no,no,TRAPPC13_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
P68368,TUBA4A,Tubulin alpha-4A chain OS=Mus musculus OX=10090 GN=Tuba4a PE=1 SV=1,bat,1.Hydroxy.2.naphthoic.acid,0.00426,no,no,no,TUBA4A_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
Q9ER39,TOR1A,Torsin-1A OS=Mus musculus OX=10090 GN=Tor1a PE=1 SV=1,bat,1.Hydroxy.2.naphthoic.acid,-0.0396,no,no,no,TOR1A_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
Q99LG2,TNPO2,Transportin-2 OS=Mus musculus OX=10090 GN=Tnpo2 PE=1 SV=1,bat,1.Hydroxy.2.naphthoic.acid,-0.0974,yes,no,no,TNPO2_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
O54824,IL16,Pro-interleukin-16 OS=Mus musculus OX=10090 GN=Il16 PE=1 SV=3,bat,1.Hydroxy.2.naphthoic.acid,-0.249785457,no,no,no,IL16_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
Q80ZV0,RNASEH2B,Ribonuclease H2 subunit B OS=Mus musculus OX=10090 GN=Rnaseh2b PE=1 SV=2,bat,1.Hydroxy.2.naphthoic.acid,-0.0985,no,no,no,RNASEH2B_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
P35235-1,PTPN11,Isoform 2 of Tyrosine-protein phosphatase non-receptor type 11 OS=Mus musculus OX=10090 GN=Ptpn11,bat,1.Hydroxy.2.naphthoic.acid,-0.776026175,no,no,no,PTPN11_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Extreme Outlier
Q6P9N8,TRAK2,"Trafficking protein, kinesin-binding 2 OS=Mus musculus OX=10090 GN=Trak2 PE=1 SV=1",bat,1.Hydroxy.2.naphthoic.acid,-0.114787834,no,no,no,TRAK2_1.Hydroxy.2.naphthoic.acid,NA,NA,NA,newfound,Normal
Q8BP40,ACP6,Lysophosphatidic acid phosphatase type 6 OS=Mus musculus OX=10090 GN=Acp6 PE=1 SV=1,bat,10.Hydroxydecanoic.acid,0.194306923,no,yes,yes,ACP6_10.Hydroxydecanoic.acid,NA,NA,NA,newfound,Normal
P11835,ITGB2,Integrin beta-2 OS=Mus musculus OX=10090 GN=Itgb2 PE=1 SV=2,bat,10.Hydroxydecanoic.acid,-0.0168,no,no,no,ITGB2_10.Hydroxydecanoic.acid,NA,NA,NA,newfound,Normal
O09174,AMACR,Alpha-methylacyl-CoA racemase OS=Mus musculus OX=10090 GN=Amacr PE=1 SV=4,bat,10.Hydroxydecanoic.acid,0.0494,no,yes,yes,AMACR_10.Hydroxydecanoic.acid,NA,NA,NA,newfound,Normal
P28656,NAP1L1,Nucleosome assembly protein 1-like 1 OS=Mus musculus OX=10090 GN=Nap1l1 PE=1 SV=2,bat,10.Hydroxydecanoic.acid,-0.0426,no,no,no,NAP1L1_10.Hydroxydecanoic.acid,NA,NA,NA,newfound,Normal
Q8BG07,PLD4,5'-3' exonuclease PLD4 OS=Mus musculus OX=10090 GN=Pld4 PE=1 SV=1,bat,10.Hydroxydecanoic.acid,-0.0133,no,no,yes,PLD4_10.Hydroxydecanoic.acid,NA,NA,NA,newfound,Normal
Q9CQV7,DNAJC19,Mitochondrial import inner membrane translocase subunit TIM14 OS=Mus musculus OX=10090 GN=Dnajc19 PE=1 SV=3,bat,10.Hydroxydecanoic.acid,0.0228,no,yes,no,DNAJC19_10.Hydroxydecanoic.acid,NA,NA,NA,newfound,Normal
P70180,NPR3,Atrial natriuretic peptide receptor 3 OS=Mus musculus OX=10090 GN=Npr3 PE=1 SV=3,bat,2-Methylalanine,-0.18339286,no,no,no,NPR3_2-Methylalanine,NA,NA,NA,newfound,Normal
Q9JJ28,FLII,Protein flightless-1 homolog OS=Mus musculus OX=10090 GN=Flii PE=1 SV=1,bat,2-Methylalanine,-0.0972,no,no,no,FLII_2-Methylalanine,NA,NA,NA,newfound,Normal
Q9CQI3,GMFB,Glia maturation factor beta OS=Mus musculus OX=10090 GN=Gmfb PE=1 SV=3,bat,2-Methylalanine,-0.186287592,no,no,no,GMFB_2-Methylalanine,NA,NA,NA,newfound,Normal
